Jugador,Contrato,Equipo
Jesús Sánchez,"$2,100,000",MIA
Anthony Bender,"$770,000",MIA
Edward Cabrera,"$761,000",MIA
Jake Burger,"$760,000",MIA
Nick Fortes,"$759,000",MIA
Ryan Weathers,"$752,600",MIA
Vidal Brujan,"$745,800",MIA
Otto Lopez,"$664,326",MIA
Dane Myers,"$612,612",MIA
Xavier Edwards,"$604,656",MIA
Jonah Bride,"$391,104",MIA
Valente Bellozo,"$258,570",MIA
Kyle Stowers,"$242,658",MIA
Jesus Tinoco,"$238,680",MIA
Derek Hill,"$218,790",MIA
Jhonny Pereda,"$198,900",MIA
Connor Norby,"$163,098",MIA
Adam Oller,"$163,098",MIA
Mike Baumann,"$136,884",MIA
Griffin Conine,"$135,252",MIA
Xzavion Curry,"$128,064",MIA
Anthony Maldonado,"$127,296",MIA
Darren McCaughan,"$123,318",MIA
Anthony Veneziano,"$99,450",MIA
Lake Bachar,"$87,516",MIA
Javier Sanoja,"$87,516",MIA
Shaun Anderson,"$75,582",MIA
Michael Petersen,"$67,626",MIA
Aroldis Chapman,"$10,500,000",PIT
Bryan Reynolds,"$10,050,000",PIT
Mitch Keller,"$7,500,000",PIT
Andrew McCutchen,"$5,000,000",PIT
David Bednar,"$4,510,000",PIT
Yasmani Grandal,"$2,500,000",PIT
Connor Joe,"$2,125,000",PIT
Ryan Borucki,"$1,600,000",PIT
Bailey Falter,"$755,000",PIT
Colin Holderman,"$755,000",PIT
Oneil Cruz,"$755,000",PIT
Luis Ortiz,"$747,500",PIT
Jared Triolo,"$745,000",PIT
Nick Yorke,"$740,000",PIT
Joey Bart,"$712,062",PIT
Carmen Mlodzinski,"$606,869",PIT
Nick Gonzales,"$564,876",PIT
Paul Skenes,"$560,898",PIT
Jalen Beeks,"$549,305",PIT
Dennis Santana,"$429,624",PIT
Isiah Kiner-Falefa,"$250,000",PIT
Bryan De La Cruz,"$247,740",PIT
Joshua Palacios,"$202,878",PIT
Joey Wentz,"$96,360",PIT
Billy Cook,"$83,538",PIT
Isaac Mattson,"$39,780",PIT
Liover Peguero,"$31,824",PIT
Michael Burrows,"$7,956",PIT
Brandon Lowe,"$8,750,000",TB
Yandy Diaz,"$8,000,000",TB
Colin Poche,"$2,375,000",TB
Tyler Alexander,"$1,950,000",TB
Drew Rasmussen,"$1,862,500",TB
Zack Littell,"$1,850,000",TB
Jose Siri,"$757,800",TB
Taylor Walls,"$757,300",TB
Josh Lowe,"$755,700",TB
Ben Rortvedt,"$755,400",TB
José Caballero,"$751,700",TB
Garrett Cleavinger,"$746,900",TB
Richard Palacios,"$745,200",TB
Ryan Pepiot,"$744,900",TB
Taj Bradley,"$743,300",TB
Jonny DeLuca,"$742,400",TB
Dylan Carlson,"$684,946",TB
Kevin Kelly,"$672,282",TB
Shane Baz,"$571,714",TB
Richard Lovelady,"$525,096",TB
Manuel Rodriguez,"$421,668",TB
Edwin Uceta,"$405,756",TB
Jonathan Aranda,"$391,412",TB
Christopher Morel,"$259,812",TB
Junior Caminero,"$186,966",TB
Hunter Bigge,"$159,120",TB
Logan Driscoll,"$115,024",TB
Mason Montgomery,"$95,472",TB
Ross Stripling,"$9,250,000",OAK
Seth Brown,"$2,600,000",OAK
Scott Alexander,"$2,400,000",OAK
T.J. McFarland,"$1,500,000",OAK
Brent Rooker,"$750,000",OAK
JP Sears,"$745,000",OAK
J.J. Bleday,"$745,000",OAK
Shea Langeliers,"$745,000",OAK
Kyle McCann,"$740,000",OAK
Mitch Spence,"$740,000",OAK
Zack Gelof,"$740,000",OAK
Mason Miller,"$740,000",OAK
Max Schuemann,"$680,238",OAK
Tyler Nevin,"$640,458",OAK
Kyle Muller,"$624,546",OAK
Darell Hernaiz,"$624,546",OAK
Lawrence Butler,"$600,678",OAK
Tyler Soderstrom,"$572,832",OAK
Joey Estes,"$560,898",OAK
Daz Cameron,"$521,118",OAK
Tyler Ferguson,"$425,646",OAK
Joe Boyle,"$393,822",OAK
Hogan Harris,"$389,844",OAK
Michel Otanez,"$334,152",OAK
Jacob Wilson,"$286,416",OAK
Nick Allen,"$276,345",OAK
Grant Holman,"$171,054",OAK
J.T. Ginn,"$159,120",OAK
